model,dataset,method,auprc,fpr95
COCO,SMIYC RA-21,MSP,0.17920650684812234,0.8962417347292359
COCO,SMIYC RA-21,MaxLogit,0.28912390659106807,0.7583602866748796
COCO,SMIYC RA-21,Max Entropy,0.21806236349641878,0.8956710454155269
COCO,SMIYC RA-21,RbA,0.5513991445054702,0.7241685142807429
COCO,SMIYC RO-21,MSP,0.03551340877599704,1.0
COCO,SMIYC RO-21,MaxLogit,0.2849693092965463,0.9999549584518214
COCO,SMIYC RO-21,Max Entropy,0.15565319800432348,1.0
COCO,SMIYC RO-21,RbA,0.37515238500747483,1.0
COCO,FS L&F,MSP,0.007620164899573868,0.4382700604633824
COCO,FS L&F,MaxLogit,0.004778674571984766,0.9140221863624586
COCO,FS L&F,Max Entropy,0.014693383620892514,0.38318491011405875
COCO,FS L&F,RbA,0.05041029816118247,0.550347541634197
COCO,FS Static,MSP,0.05562095999013419,0.9127802032573284
COCO,FS Static,MaxLogit,0.056419690113532726,0.7822636978251696
COCO,FS Static,Max Entropy,0.0460056004987704,0.9105863662538386
COCO,FS Static,RbA,0.1881468863712216,0.7002908628066586
COCO,Road Anomaly,MSP,0.1062075900863733,0.9418008145575935
COCO,Road Anomaly,MaxLogit,0.14472293747272055,0.858838076268354
COCO,Road Anomaly,Max Entropy,0.16794990063078874,0.9390780247960051
COCO,Road Anomaly,RbA,0.3809881129580852,0.7754740396157448
Cityscapes,SMIYC RA-21,MSP,0.5230139746843243,0.3231802894244025
Cityscapes,SMIYC RA-21,MaxLogit,0.6818847858405286,0.2654833622686474
Cityscapes,SMIYC RA-21,Max Entropy,0.6106191343119008,0.31245625927704174
Cityscapes,SMIYC RA-21,RbA,0.38524560442825334,0.781543575038964
Cityscapes,SMIYC RO-21,MSP,0.7430120306491522,0.05382253047126972
Cityscapes,SMIYC RO-21,MaxLogit,0.34939051132715065,0.999998675248583
Cityscapes,SMIYC RO-21,Max Entropy,0.8136111072992095,0.01811332612491929
Cityscapes,SMIYC RO-21,RbA,0.7191449998053564,0.9984434170850011
Cityscapes,FS L&F,MSP,0.0226195488203934,0.4118897853294662
Cityscapes,FS L&F,MaxLogit,0.22672345044862502,0.4283203807931231
Cityscapes,FS L&F,Max Entropy,0.035695475972879656,0.43239554245103545
Cityscapes,FS L&F,RbA,0.004639248602928519,0.7397210985609965
Cityscapes,FS Static,MSP,0.06868343317403522,0.38813904472911454
Cityscapes,FS Static,MaxLogit,0.4781716962338596,0.5713944920290231
Cityscapes,FS Static,Max Entropy,0.06782586909898702,0.39788594773933816
Cityscapes,FS Static,RbA,0.011628609062444421,0.9111327077134534
Cityscapes,Road Anomaly,MSP,0.39022966695410377,0.431985388785717
Cityscapes,Road Anomaly,MaxLogit,0.7055153971043314,0.31189147115727256
Cityscapes,Road Anomaly,Max Entropy,0.4535550026522674,0.42811756042550897
Cityscapes,Road Anomaly,RbA,0.16755365258156749,0.8269879581153013
Fine-tuned,SMIYC RA-21,MSP,0.8345589639637313,0.20448285066735317
Fine-tuned,SMIYC RA-21,MaxLogit,0.4471823355220405,0.857217809425994
Fine-tuned,SMIYC RA-21,Max Entropy,0.8468414721790674,0.1810347054521614
Fine-tuned,SMIYC RA-21,RbA,0.43091795613751405,0.4709332967522077
Fine-tuned,SMIYC RA-21,MSP (T=1.5),0.8167101934614194,0.31925553846258914
Fine-tuned,SMIYC RA-21,Max Entropy (T=1.5),0.8151080456158265,0.28615080747193244
Fine-tuned,SMIYC RA-21,RbA (T=1.5),0.3653476876261138,0.4380960949351472
Fine-tuned,SMIYC RO-21,MSP,0.7746621196075488,0.02153966318990073
Fine-tuned,SMIYC RO-21,MaxLogit,0.6392279327667596,0.996097282325458
Fine-tuned,SMIYC RO-21,Max Entropy,0.8884248853633165,0.0029534008091051753
Fine-tuned,SMIYC RO-21,RbA,0.854325526278505,0.025448474720960984
Fine-tuned,SMIYC RO-21,MSP (T=1.5),0.8230409042602536,0.016164881740765753
Fine-tuned,SMIYC RO-21,Max Entropy (T=1.5),0.8855598226716872,0.003498668492350753
Fine-tuned,SMIYC RO-21,RbA (T=1.5),0.8365293900958121,0.06285442068223109
Fine-tuned,FS L&F,MSP,0.21068572040402783,0.3098388634483104
Fine-tuned,FS L&F,MaxLogit,0.11208649525899463,0.18547912558794546
Fine-tuned,FS L&F,Max Entropy,0.37262962784727754,0.30481468700542985
Fine-tuned,FS L&F,RbA,0.5885314570769975,0.3558477937656348
Fine-tuned,FS L&F,MSP (T=1.5),0.28739317656157287,0.28010159187168704
Fine-tuned,FS L&F,Max Entropy (T=1.5),0.38631958197406147,0.2882311149459278
Fine-tuned,FS L&F,RbA (T=1.5),0.6231637401409656,0.3470836074590449
Fine-tuned,FS Static,MSP,0.5094055585381135,0.37581096799710695
Fine-tuned,FS Static,MaxLogit,0.523571268893363,0.03140280350772444
Fine-tuned,FS Static,Max Entropy,0.6034245453457816,0.364887254635626
Fine-tuned,FS Static,RbA,0.810399091854547,0.2020898656239539
Fine-tuned,FS Static,MSP (T=1.5),0.6183657449163997,0.27646649985287436
Fine-tuned,FS Static,Max Entropy (T=1.5),0.6832558550982937,0.2554690133546456
Fine-tuned,FS Static,RbA (T=1.5),0.7862773114701339,0.21939801369680278
Fine-tuned,Road Anomaly,MSP,0.751150826448113,0.420457415139343
Fine-tuned,Road Anomaly,MaxLogit,0.49714937219349686,0.8264438966517923
Fine-tuned,Road Anomaly,Max Entropy,0.7890711832756073,0.3967331939102488
Fine-tuned,Road Anomaly,RbA,0.6298431201198075,0.250719581541178
Fine-tuned,Road Anomaly,MSP (T=1.5),0.7725762031157963,0.34801464280902533
