,,auprc,fpr95
SMIYC RA-21,MSP,0.29085436597121417,0.6256943263732336
SMIYC RA-21,MaxLogit,0.3830233776140185,0.5936969186951269
SMIYC RA-21,Max Entropy,0.30960871536030654,0.6268411087139917
SMIYC RO-21,MSP,0.027121079809874063,0.6523519786960612
SMIYC RO-21,MaxLogit,0.04628808323662914,0.48461078578147565
SMIYC RO-21,Max Entropy,0.03046673806226855,0.6592949280594602
FS L&F,MSP,0.017312867801253632,0.5059806049476779
FS L&F,MaxLogit,0.03279831306508129,0.4547627567310216
FS L&F,Max Entropy,0.025613101509647778,0.5015585360267699
FS Static,MSP,0.050334106867627036,0.40915834265502515
FS Static,MaxLogit,0.06267148062438248,0.396774564124585
FS Static,Max Entropy,0.058879379012045374,0.40645394329040807
Road Anomaly,MSP,0.1204546192248022,0.8258555396138869
Road Anomaly,MaxLogit,0.15365357318875142,0.7216952789215283
Road Anomaly,Max Entropy,0.12340695899980618,0.827329924555724
